ID,vote,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
4473,No,Rural,Yes,7,29,Female,Other relative,Married/Living together,Primary education,Farming and Fishing
4474,No,Rural,Yes,4,28,Female,Head of Household,Single/Never Married,Secondary education,Self employed
4475,No,Rural,Yes,2,47,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
4476,No,Rural,Yes,4,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
4477,No,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
4478,No,Rural,No,4,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
4479,No,Rural,No,1,74,Female,Head of Household,Widowed,No formal education,Remittance Dependent
4480,No,Rural,Yes,1,56,Female,Head of Household,Widowed,Primary education,Farming and Fishing
4481,No,Urban,Yes,4,23,Female,Spouse,Married/Living together,Secondary education,Other Income
4482,No,Rural,Yes,1,32,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
4483,No,Rural,No,4,45,Male,Head of Household,Married/Living together,Primary education,Dont Know/Refuse to answer
4484,No,Rural,Yes,6,22,Female,Child,Divorced/Seperated,Secondary education,No Income
4485,No,Rural,No,4,40,Male,Spouse,Married/Living together,No formal education,Self employed
4486,No,Urban,Yes,3,44,Female,Head of Household,Married/Living together,Secondary education,Self employed
4487,No,Rural,No,5,22,Female,Other relative,Single/Never Married,Primary education,Informally employed
4488,No,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,No formal education,Self employed
4489,No,Rural,No,3,50,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
4490,Yes,Urban,Yes,1,29,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
4491,No,Rural,Yes,1,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
4492,No,Rural,No,3,36,Female,Child,Single/Never Married,Primary education,Informally employed
4493,No,Urban,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Informally employed
4494,No,Urban,Yes,2,50,Female,Spouse,Single/Never Married,Primary education,Self employed
4495,Yes,Rural,Yes,2,33,Male,Head of Household,Married/Living together,Secondary education,Self employed
4496,No,Rural,Yes,8,58,Male,Head of Household,Married/Living together,Secondary education,Self employed
4497,No,Urban,Yes,1,22,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
4498,Yes,Urban,Yes,1,24,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
4499,No,Rural,Yes,10,19,Male,Parent,Single/Never Married,Primary education,Self employed
4500,No,Rural,Yes,5,63,Male,Head of Household,Married/Living together,Primary education,Informally employed
4501,No,Urban,No,1,79,Female,Head of Household,Widowed,No formal education,Remittance Dependent
4502,Yes,Urban,Yes,3,49,Male,Head of Household,Married/Living together,Secondary education,Informally employed
4503,No,Rural,Yes,4,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
4504,No,Urban,No,1,88,Male,Head of Household,Widowed,No formal education,Self employed
4505,Yes,Rural,Yes,4,28,Male,Child,Single/Never Married,Tertiary education,Formally employed Government
4506,Yes,Rural,Yes,1,34,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
4507,No,Rural,No,4,30,Female,Spouse,Married/Living together,Primary education,Informally employed
4508,No,Rural,Yes,3,46,Male,Spouse,Married/Living together,Secondary education,Self employed
4509,No,Rural,Yes,2,30,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
4510,No,Rural,Yes,1,65,Female,Head of Household,Widowed,Primary education,Informally employed
4511,No,Rural,No,1,71,Female,Head of Household,Widowed,No formal education,Remittance Dependent
4512,No,Urban,Yes,2,24,Female,Spouse,Single/Never Married,No formal education,Informally employed
4513,No,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Secondary education,Self employed
4514,No,Rural,No,10,17,Female,Other relative,Single/Never Married,Secondary education,Other Income
4515,No,Rural,No,10,32,Female,Spouse,Married/Living together,No formal education,Other Income
4516,No,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
4517,No,Rural,Yes,7,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
4518,No,Rural,Yes,3,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4519,No,Rural,Yes,3,21,Male,Head of Household,Married/Living together,Primary education,Informally employed
4520,No,Urban,No,3,22,Female,Spouse,Single/Never Married,Primary education,Self employed
4521,No,Urban,No,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
4522,No,Rural,Yes,3,61,Female,Head of Household,Widowed,No formal education,Self employed
4523,No,Rural,No,1,50,Female,Head of Household,Married/Living together,No formal education,Self employed
4524,No,Rural,Yes,6,41,Female,Head of Household,Widowed,Secondary education,Self employed
4525,No,Urban,No,7,17,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
4526,No,Rural,Yes,9,22,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
4527,No,Rural,Yes,4,18,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
4528,No,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Informally employed
4529,Yes,Urban,Yes,2,35,Female,Spouse,Married/Living together,Vocational/Specialised training,Other Income
4530,No,Rural,Yes,3,57,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4531,No,Rural,Yes,5,25,Male,Head of Household,Married/Living together,Primary education,Self employed
4532,No,Rural,Yes,5,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4533,No,Rural,Yes,1,38,Female,Head of Household,Single/Never Married,Primary education,Self employed
4534,No,Urban,Yes,4,33,Female,Spouse,Married/Living together,Secondary education,Self employed
4535,No,Rural,No,6,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4536,Yes,Rural,Yes,3,32,Female,Spouse,Single/Never Married,Primary education,Informally employed
4537,No,Rural,Yes,9,28,Male,Child,Single/Never Married,Primary education,Farming and Fishing
4538,Yes,Rural,Yes,1,30,Female,Head of Household,Widowed,Tertiary education,Other Income
4539,No,Urban,Yes,2,52,Female,Spouse,Single/Never Married,Primary education,Self employed
4540,No,Rural,Yes,4,46,Female,Head of Household,Widowed,No formal education,Self employed
4541,No,Urban,No,2,18,Male,Child,Divorced/Seperated,Primary education,Remittance Dependent
4542,No,Rural,Yes,3,21,Female,Child,Single/Never Married,Primary education,Informally employed
4543,No,Rural,Yes,2,66,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
4544,No,Urban,Yes,7,22,Male,Child,Single/Never Married,Secondary education,Informally employed
4545,No,Rural,Yes,3,56,Female,Head of Household,Widowed,No formal education,Informally employed
4546,No,Rural,Yes,1,45,Male,Head of Household,Divorced/Seperated,Primary education,Other Income
4547,No,Rural,Yes,1,30,Female,Head of Household,Married/Living together,Primary education,Self employed
4548,No,Rural,Yes,2,70,Female,Head of Household,Widowed,No formal education,Government Dependent
4549,No,Urban,No,3,17,Female,Parent,Divorced/Seperated,Primary education,No Income
4550,No,Rural,Yes,4,43,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
4551,No,Rural,Yes,5,16,Female,Parent,Single/Never Married,Primary education,Self employed
4552,No,Rural,Yes,2,37,Female,Spouse,Single/Never Married,Vocational/Specialised training,Self employed
4553,No,Rural,Yes,2,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
4554,No,Urban,No,1,26,Female,Head of Household,Single/Never Married,Primary education,Informally employed
4555,Yes,Urban,Yes,4,72,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4556,No,Urban,No,4,40,Female,Spouse,Single/Never Married,No formal education,Self employed
4557,No,Urban,Yes,4,40,Female,Head of Household,Widowed,Primary education,Remittance Dependent
4558,No,Rural,Yes,4,33,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
4559,Yes,Rural,Yes,6,28,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
4560,No,Urban,No,1,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
4561,No,Urban,Yes,5,19,Female,Other non-relatives,Single/Never Married,Primary education,No Income
4562,No,Rural,Yes,3,39,Female,Head of Household,Widowed,No formal education,Informally employed
4563,No,Urban,No,1,53,Male,Head of Household,Widowed,Primary education,Self employed
4564,No,Rural,Yes,1,20,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
4565,No,Urban,Yes,4,20,Male,Parent,Divorced/Seperated,Primary education,Informally employed
4566,No,Rural,No,1,67,Female,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
4567,No,Rural,No,2,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing
4568,No,Rural,Yes,2,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
4569,No,Rural,Yes,4,32,Female,Child,Single/Never Married,Primary education,Farming and Fishing
4570,No,Rural,Yes,2,32,Female,Spouse,Single/Never Married,Secondary education,Self employed
4571,No,Urban,No,3,16,Male,Child,Divorced/Seperated,Secondary education,Self employed
4572,No,Rural,Yes,2,36,Female,Child,Widowed,No formal education,Informally employed
4573,No,Rural,Yes,6,49,Male,Head of Household,Married/Living together,No formal education,Self employed
4574,No,Urban,No,5,16,Female,Parent,Divorced/Seperated,Primary education,No Income
4575,No,Rural,No,2,42,Female,Spouse,Single/Never Married,No formal education,Self employed
4576,No,Urban,No,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
4577,No,Rural,Yes,8,33,Male,Head of Household,Married/Living together,Primary education,Self employed
4578,No,Rural,Yes,7,50,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
4579,Yes,Urban,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
4580,No,Rural,Yes,2,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
4581,No,Rural,Yes,7,52,Male,Head of Household,Married/Living together,Vocational/Specialised training,Other Income
4582,No,Urban,Yes,3,32,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
4583,No,Rural,No,9,60,Female,Spouse,Married/Living together,No formal education,Informally employed
4584,No,Urban,No,1,40,Male,Head of Household,Married/Living together,Primary education,Informally employed
4585,No,Rural,Yes,7,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
4586,No,Rural,No,6,18,Female,Child,Single/Never Married,Primary education,Informally employed
4587,No,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
4588,No,Rural,Yes,7,38,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
4589,Yes,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
4590,No,Rural,Yes,2,42,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
4591,No,Rural,No,2,21,Female,Head of Household,Single/Never Married,No formal education,Informally employed
4592,No,Urban,Yes,2,25,Female,Spouse,Married/Living together,Primary education,Self employed
4593,No,Rural,No,5,24,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
4594,No,Rural,No,4,28,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
4595,No,Urban,Yes,1,80,Female,Head of Household,Widowed,No formal education,Self employed
4596,No,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4597,No,Rural,Yes,5,61,Female,Head of Household,Widowed,Primary education,Informally employed
4598,No,Rural,Yes,7,25,Female,Spouse,Married/Living together,Primary education,Informally employed
4599,No,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,No formal education,Self employed
4600,No,Rural,Yes,5,19,Female,Parent,Single/Never Married,Primary education,Formally employed Private
4601,No,Urban,Yes,3,39,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
4602,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
4603,No,Rural,Yes,1,21,Male,Head of Household,Single/Never Married,Secondary education,Self employed
4604,No,Urban,No,1,88,Female,Head of Household,Married/Living together,Primary education,Self employed
4605,No,Rural,No,7,36,Female,Spouse,Married/Living together,Primary education,Self employed
4606,No,Urban,Yes,2,60,Female,Spouse,Single/Never Married,Primary education,Self employed
4607,No,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4608,No,Urban,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
4609,No,Urban,Yes,2,60,Male,Spouse,Single/Never Married,Primary education,Self employed
4610,No,Rural,No,2,23,Female,Spouse,Single/Never Married,Primary education,Self employed
4611,Yes,Rural,Yes,8,20,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
4612,No,Urban,Yes,3,40,Female,Spouse,Single/Never Married,No formal education,Government Dependent
4613,Yes,Rural,Yes,4,63,Female,Head of Household,Widowed,Primary education,Farming and Fishing
4614,Yes,Rural,Yes,3,49,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
4615,No,Rural,Yes,7,56,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
4616,No,Rural,Yes,3,54,Female,Head of Household,Married/Living together,Primary education,Informally employed
4617,No,Rural,No,6,16,Male,Parent,Single/Never Married,Primary education,No Income
4618,No,Urban,Yes,2,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
4619,No,Rural,Yes,4,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
4620,No,Urban,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Remittance Dependent
4621,No,Rural,Yes,4,34,Female,Head of Household,Married/Living together,Secondary education,Informally employed
4622,No,Urban,Yes,12,30,Female,Parent,Married/Living together,Secondary education,Formally employed Private
4623,No,Rural,Yes,1,63,Female,Head of Household,Widowed,No formal education,Remittance Dependent
4624,No,Rural,Yes,8,43,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
4625,No,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4626,No,Rural,Yes,6,31,Female,Spouse,Married/Living together,Primary education,Self employed
4627,No,Rural,Yes,6,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
4628,No,Urban,Yes,6,31,Female,Child,Divorced/Seperated,Primary education,Informally employed
4629,No,Rural,No,6,30,Female,Head of Household,Married/Living together,Primary education,Informally employed
4630,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Dont Know/Refuse to answer
4631,No,Rural,No,4,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4632,No,Rural,No,3,28,Female,Head of Household,Married/Living together,Primary education,Informally employed
4633,Yes,Rural,Yes,7,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4634,Yes,Urban,Yes,1,59,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
4635,Yes,Rural,Yes,1,29,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private
4636,No,Rural,No,6,34,Female,Spouse,Married/Living together,Primary education,Informally employed
4637,No,Urban,Yes,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
4638,No,Rural,No,1,62,Female,Head of Household,Widowed,No formal education,Farming and Fishing
4639,No,Urban,No,1,82,Male,Head of Household,Widowed,Primary education,Self employed
4640,No,Rural,No,6,38,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
4641,Yes,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Other Income
4642,Yes,Rural,Yes,7,45,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
4643,No,Rural,Yes,2,48,Female,Head of Household,Widowed,No formal education,Informally employed
4644,No,Urban,Yes,2,45,Female,Spouse,Single/Never Married,No formal education,Self employed
4645,No,Urban,Yes,10,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
4646,No,Rural,Yes,1,28,Female,Head of Household,Single/Never Married,Primary education,Informally employed
4647,No,Rural,Yes,7,34,Female,Spouse,Married/Living together,No formal education,Informally employed
4648,No,Urban,Yes,1,26,Female,Head of Household,Single/Never Married,No formal education,Self employed
4649,No,Rural,Yes,9,50,Female,Spouse,Married/Living together,Primary education,Self employed
4650,No,Urban,No,1,58,Female,Head of Household,Widowed,Primary education,Self employed
4651,No,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
4652,No,Rural,Yes,1,22,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
4653,No,Urban,Yes,6,18,Male,Child,Single/Never Married,Secondary education,Other Income
4654,No,Rural,Yes,2,19,Male,Child,Single/Never Married,Primary education,Informally employed
4655,No,Urban,No,2,20,Female,Spouse,Married/Living together,Primary education,Other Income
4656,No,Urban,No,3,30,Female,Spouse,Single/Never Married,No formal education,Government Dependent
4657,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,No formal education,Informally employed
4658,No,Urban,No,3,29,Female,Spouse,Single/Never Married,No formal education,Self employed
4659,No,Rural,No,3,60,Female,Head of Household,Widowed,Primary education,Other Income
4660,No,Rural,Yes,6,28,Female,Head of Household,Married/Living together,Primary education,Informally employed
4661,No,Rural,Yes,5,30,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
4662,No,Urban,Yes,1,34,Female,Head of Household,Single/Never Married,Primary education,Self employed
4663,No,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
4664,No,Rural,Yes,8,60,Male,Head of Household,Married/Living together,Primary education,Self employed
4665,No,Rural,No,4,17,Female,Child,Single/Never Married,Primary education,Informally employed
4666,Yes,Urban,Yes,5,48,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
4667,No,Urban,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Informally employed
4668,No,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
4669,No,Rural,Yes,2,23,Female,Spouse,Single/Never Married,Primary education,Self employed
4670,No,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
4671,No,Rural,Yes,5,17,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
4672,No,Rural,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
4673,No,Rural,Yes,6,46,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4674,No,Urban,Yes,2,30,Female,Spouse,Single/Never Married,No formal education,Self employed
4675,No,Rural,Yes,2,34,Male,Head of Household,Single/Never Married,Primary education,Self employed
4676,No,Urban,Yes,3,63,Male,Head of Household,Married/Living together,Primary education,Informally employed
4677,No,Rural,Yes,1,18,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
4678,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
4679,No,Urban,Yes,2,69,Male,Head of Household,Single/Never Married,Primary education,Self employed
4680,No,Rural,Yes,6,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4681,No,Urban,Yes,5,73,Male,Head of Household,Married/Living together,Primary education,Other Income
4682,No,Rural,Yes,4,21,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
4683,No,Urban,Yes,4,18,Male,Child,Divorced/Seperated,Primary education,No Income
4684,No,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
4685,No,Rural,No,7,38,Male,Head of Household,Married/Living together,Primary education,Self employed
4686,No,Rural,Yes,2,52,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
4687,No,Urban,Yes,7,19,Male,Child,Single/Never Married,Secondary education,Formally employed Government
4688,No,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Primary education,Other Income
4689,Yes,Urban,Yes,1,65,Male,Head of Household,Married/Living together,Primary education,Self employed
4690,No,Rural,Yes,5,37,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
4691,No,Urban,Yes,3,55,Female,Head of Household,Widowed,Primary education,Farming and Fishing
4692,No,Rural,Yes,5,31,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
4693,No,Rural,Yes,5,34,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
4694,Yes,Rural,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
4695,No,Rural,No,7,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4696,No,Rural,Yes,5,31,Female,Spouse,Married/Living together,No formal education,Informally employed
4697,Yes,Urban,Yes,6,29,Female,Child,Married/Living together,Vocational/Specialised training,Self employed
4698,No,Rural,Yes,4,40,Male,Other relative,Married/Living together,Primary education,Self employed
4699,No,Rural,Yes,7,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4700,No,Urban,No,3,58,Female,Spouse,Single/Never Married,No formal education,Self employed
4701,No,Urban,Yes,1,43,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
4702,Yes,Urban,Yes,3,42,Female,Child,Divorced/Seperated,Secondary education,Remittance Dependent
4703,No,Urban,Yes,2,31,Male,Head of Household,Single/Never Married,Primary education,Self employed
4704,No,Urban,Yes,1,45,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
4705,No,Urban,Yes,7,18,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
4706,No,Rural,Yes,3,49,Female,Spouse,Married/Living together,Secondary education,Informally employed
4707,No,Urban,Yes,2,41,Male,Head of Household,Single/Never Married,Primary education,Informally employed
4708,No,Rural,No,5,25,Female,Spouse,Married/Living together,Primary education,Other Income
4709,No,Rural,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
4710,No,Rural,No,4,17,Female,Parent,Divorced/Seperated,Primary education,Self employed
4711,No,Urban,Yes,1,20,Male,Head of Household,Single/Never Married,Primary education,Other Income
4712,Yes,Rural,Yes,3,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent
4713,No,Urban,No,2,37,Female,Spouse,Single/Never Married,Primary education,Informally employed
4714,No,Urban,No,5,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
4715,No,Rural,No,2,24,Female,Spouse,Single/Never Married,Primary education,Informally employed
4716,No,Urban,No,2,43,Female,Head of Household,Single/Never Married,Primary education,Self employed
4717,Yes,Urban,Yes,7,48,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
4718,No,Urban,No,4,27,Female,Spouse,Single/Never Married,Primary education,Self employed
4719,No,Rural,Yes,6,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4720,No,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Informally employed
4721,No,Rural,No,2,34,Female,Child,Divorced/Seperated,Primary education,Remittance Dependent
4722,No,Urban,No,3,18,Female,Other relative,Divorced/Seperated,Tertiary education,Remittance Dependent
4723,No,Urban,No,3,20,Female,Spouse,Married/Living together,Secondary education,No Income
4724,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
4725,No,Rural,Yes,8,32,Female,Spouse,Married/Living together,Secondary education,Self employed
4726,Yes,Rural,Yes,1,45,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
4727,No,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Informally employed
4728,No,Urban,Yes,6,43,Male,Head of Household,Married/Living together,Secondary education,Self employed
4729,No,Urban,No,2,38,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
4730,No,Rural,No,3,23,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4731,No,Urban,Yes,1,32,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
4732,No,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Secondary education,Informally employed
4733,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Dont Know/Refuse to answer
4734,Yes,Rural,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
4735,No,Rural,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
4736,No,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed
4737,No,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Self employed
4738,No,Urban,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
4739,No,Rural,Yes,2,28,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
4740,Yes,Urban,No,2,67,Male,Head of Household,Single/Never Married,Tertiary education,Government Dependent
4741,No,Rural,No,4,43,Male,Head of Household,Married/Living together,No formal education,Informally employed
4742,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,No formal education,Informally employed
4743,Yes,Urban,Yes,5,40,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
4744,No,Urban,Yes,1,33,Male,Head of Household,Married/Living together,Primary education,Self employed
4745,Yes,Rural,Yes,1,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4746,No,Urban,Yes,4,27,Female,Head of Household,Married/Living together,Primary education,Informally employed
4747,No,Rural,Yes,6,33,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
4748,No,Rural,Yes,7,52,Male,Head of Household,Married/Living together,No formal education,Informally employed
4749,Yes,Rural,Yes,7,32,Female,Spouse,Married/Living together,Secondary education,Self employed
4750,No,Urban,No,4,22,Female,Child,Divorced/Seperated,Primary education,Self employed
4751,No,Rural,Yes,3,51,Female,Spouse,Single/Never Married,Primary education,Informally employed
4752,No,Urban,Yes,6,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
4753,No,Rural,No,1,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing
4754,Yes,Urban,Yes,3,52,Female,Head of Household,Widowed,Tertiary education,Formally employed Private
4755,No,Rural,Yes,4,27,Female,Spouse,Married/Living together,No formal education,Informally employed
4756,No,Urban,No,3,47,Female,Spouse,Single/Never Married,No formal education,Self employed
4757,No,Rural,Yes,3,40,Female,Spouse,Single/Never Married,Secondary education,Self employed
4758,No,Rural,Yes,4,34,Male,Head of Household,Married/Living together,Secondary education,Other Income
4759,Yes,Urban,Yes,3,24,Male,Head of Household,Married/Living together,Secondary education,Self employed
4760,No,Rural,Yes,9,70,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
4761,No,Rural,Yes,2,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
4762,No,Rural,Yes,6,44,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4763,No,Urban,Yes,4,34,Female,Spouse,Single/Never Married,Primary education,Self employed
4764,No,Rural,Yes,3,32,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
4765,No,Urban,Yes,6,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
4766,Yes,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Self employed
4767,No,Rural,Yes,5,23,Male,Child,Single/Never Married,Primary education,Farming and Fishing
4768,No,Rural,Yes,6,22,Male,Child,Single/Never Married,Primary education,Farming and Fishing
4769,No,Rural,Yes,1,33,Female,Head of Household,Married/Living together,Primary education,Self employed
4770,No,Rural,Yes,2,35,Male,Head of Household,Single/Never Married,No formal education,Self employed
4771,No,Rural,Yes,5,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4772,Yes,Urban,Yes,1,25,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
4773,No,Rural,No,3,36,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
4774,No,Urban,Yes,2,50,Female,Head of Household,Widowed,Primary education,Self employed
4775,No,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
4776,No,Rural,No,6,35,Male,Head of Household,Married/Living together,No formal education,Informally employed
4777,No,Urban,No,2,47,Female,Spouse,Single/Never Married,Primary education,Self employed
4778,No,Rural,No,5,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
4779,No,Urban,Yes,3,27,Female,Child,Married/Living together,Primary education,Informally employed
4780,Yes,Rural,Yes,9,35,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
4781,No,Rural,Yes,3,43,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
4782,No,Rural,Yes,4,55,Female,Head of Household,Widowed,No formal education,Informally employed
4783,No,Rural,Yes,8,68,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
4784,No,Urban,No,1,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
